"minute","result","X","Y","xG","player","h_a","situation","shotType","home_team","away_team","home_goals","away_goals","date","player_assisted","lastAction","Outcome","zone"
36,"MissedShots",92.7150032043457,27.88,0.0584661774337292,"Ra̼l Jim̩nez","h","FromCorner","LeftFoot","Wolverhampton Wanderers","Leicester",2,1,"2022-02-20 16:30:00","Romain Saiss","BallTouch","NoGoal","zone2"
45,"MissedShots",95.4450016021729,27.3360005187989,0.0308603942394257,"Romain Saiss","h","FromCorner","Head","Wolverhampton Wanderers","Leicester",2,1,"2022-02-20 16:30:00","Jọo Moutinho","Cross","NoGoal","zone2"
60,"MissedShots",75.7049983978272,42.5679989624023,0.0408593118190765,"R̼ben Neves","h","DirectFreekick","RightFoot","Wolverhampton Wanderers","Leicester",2,1,"2022-02-20 16:30:00",NA,"Standard","NoGoal","zone3"
65,"Goal",80.9549983978272,29.92,0.0277667921036482,"Daniel Podence","h","OpenPlay","RightFoot","Wolverhampton Wanderers","Leicester",2,1,"2022-02-20 16:30:00","Leander Dendoncker","Pass","Goal","zone3"
82,"BlockedShot",89.1450016021728,37.4679989624023,0.0626101940870285,"Max Kilman","h","SetPiece","LeftFoot","Wolverhampton Wanderers","Leicester",2,1,"2022-02-20 16:30:00",NA,"None","NoGoal","zone2"
94,"MissedShots",72.3450016021728,28.6279989624023,0.0233880132436752,"Pedro Neto","h","OpenPlay","LeftFoot","Wolverhampton Wanderers","Leicester",2,1,"2022-02-20 16:30:00","N̩lson Semedo","BallRecovery","NoGoal","zone3"
3,"MissedShots",89.1450016021728,35.02,0.0909178107976913,"Youri Tielemans","a","OpenPlay","RightFoot","Wolverhampton Wanderers","Leicester",2,1,"2022-02-20 16:30:00","Ademola Lookman","Pass","NoGoal","zone2"
14,"SavedShot",83.0549983978272,17.6119997406006,0.017377607524395,"Youri Tielemans","a","OpenPlay","RightFoot","Wolverhampton Wanderers","Leicester",2,1,"2022-02-20 16:30:00","Ricardo Pereira","Pass","NoGoal","zone3"
14,"SavedShot",84.4200016021728,47.0559979248047,0.022038459777832,"Patson Daka","a","OpenPlay","RightFoot","Wolverhampton Wanderers","Leicester",2,1,"2022-02-20 16:30:00","Kiernan Dewsbury-Hall","BallTouch","NoGoal","zone3"
25,"MissedShots",85.1549983978272,21.42,0.0120387496426702,"Ricardo Pereira","a","OpenPlay","RightFoot","Wolverhampton Wanderers","Leicester",2,1,"2022-02-20 16:30:00",NA,"Aerial","NoGoal","zone3"
31,"MissedShots",95.7599967956543,45.2879989624023,0.0565732195973396,"Ademola Lookman","a","SetPiece","LeftFoot","Wolverhampton Wanderers","Leicester",2,1,"2022-02-20 16:30:00",NA,"None","NoGoal","zone2"
33,"BlockedShot",89.6700016021728,21.6239994812011,0.0389811024069786,"Patson Daka","a","OpenPlay","RightFoot","Wolverhampton Wanderers","Leicester",2,1,"2022-02-20 16:30:00",NA,"None","NoGoal","zone2"
40,"Goal",102.375,32.64,0.891458570957184,"Ademola Lookman","a","OpenPlay","LeftFoot","Wolverhampton Wanderers","Leicester",2,1,"2022-02-20 16:30:00","Marc Albrighton","Pass","Goal","zone1"
49,"BlockedShot",94.7099967956543,17.8839994812011,0.0409229137003422,"Ricardo Pereira","a","OpenPlay","RightFoot","Wolverhampton Wanderers","Leicester",2,1,"2022-02-20 16:30:00","Youri Tielemans","TakeOn","NoGoal","zone2"
51,"SavedShot",92.7150032043457,36.04,0.0452559143304825,"Wilfred Ndidi","a","FromCorner","Head","Wolverhampton Wanderers","Leicester",2,1,"2022-02-20 16:30:00","Youri Tielemans","Cross","NoGoal","zone2"
56,"SavedShot",95.025,21.08,0.0524350740015507,"Patson Daka","a","OpenPlay","RightFoot","Wolverhampton Wanderers","Leicester",2,1,"2022-02-20 16:30:00",NA,"None","NoGoal","zone2"
58,"SavedShot",89.9849967956543,45.7640020751953,0.0535919591784477,"Ademola Lookman","a","OpenPlay","RightFoot","Wolverhampton Wanderers","Leicester",2,1,"2022-02-20 16:30:00","Kiernan Dewsbury-Hall","Pass","NoGoal","zone2"
61,"MissedShots",88.725,25.7039994812011,0.0636853352189064,"Youri Tielemans","a","OpenPlay","LeftFoot","Wolverhampton Wanderers","Leicester",2,1,"2022-02-20 16:30:00","Ademola Lookman","Pass","NoGoal","zone2"
76,"BlockedShot",75.6,35.8360005187989,0.0461207032203674,"James Maddison","a","DirectFreekick","RightFoot","Wolverhampton Wanderers","Leicester",2,1,"2022-02-20 16:30:00",NA,"Standard","NoGoal","zone3"
80,"MissedShots",85.6799983978272,33.9320010375977,0.0570923537015915,"James Maddison","a","OpenPlay","RightFoot","Wolverhampton Wanderers","Leicester",2,1,"2022-02-20 16:30:00","Kiernan Dewsbury-Hall","Pass","NoGoal","zone2"
83,"MissedShots",83.0549983978272,37.5360005187988,0.0331170707941055,"James Maddison","a","OpenPlay","RightFoot","Wolverhampton Wanderers","Leicester",2,1,"2022-02-20 16:30:00","Marc Albrighton","Pass","NoGoal","zone3"
88,"BlockedShot",77.3849967956543,26.86,0.0113845700398088,"Youri Tielemans","a","SetPiece","RightFoot","Wolverhampton Wanderers","Leicester",2,1,"2022-02-20 16:30:00",NA,"None","NoGoal","zone3"
93,"SavedShot",77.2799983978272,35.02,0.0174851287156343,"Youri Tielemans","a","OpenPlay","RightFoot","Wolverhampton Wanderers","Leicester",2,1,"2022-02-20 16:30:00",NA,"None","NoGoal","zone3"
3,"BlockedShot",82.5299983978272,19.7880002593994,0.0300235562026501,"Dwight McNeil","h","FromCorner","LeftFoot","Burnley","Tottenham",1,0,"2022-02-23 19:30:00","Josh Brownhill","Pass","NoGoal","zone3"
5,"BlockedShot",73.9200016021728,39.7120010375977,0.0204200576990843,"Josh Brownhill","h","OpenPlay","RightFoot","Burnley","Tottenham",1,0,"2022-02-23 19:30:00","Erik Pieters","TakeOn","NoGoal","zone3"
13,"SavedShot",84.9450016021728,33.5239994812011,0.018996350467205,"Josh Brownhill","h","OpenPlay","RightFoot","Burnley","Tottenham",1,0,"2022-02-23 19:30:00",NA,"Aerial","NoGoal","zone3"
24,"BlockedShot",83.8950016021729,51.7479989624023,0.0169323179870844,"Jay Rodriguez","h","OpenPlay","RightFoot","Burnley","Tottenham",1,0,"2022-02-23 19:30:00","Dwight McNeil","Pass","NoGoal","zone3"
42,"BlockedShot",78.1200016021728,30.6,0.0204545650631189,"Josh Brownhill","h","OpenPlay","RightFoot","Burnley","Tottenham",1,0,"2022-02-23 19:30:00","Connor Roberts","Pass","NoGoal","zone3"
53,"MissedShots",84.7349967956543,46.24,0.0233635026961565,"Wout Weghorst","h","SetPiece","RightFoot","Burnley","Tottenham",1,0,"2022-02-23 19:30:00","Josh Brownhill","Chipped","NoGoal","zone3"
56,"SavedShot",93.45,27.8120010375976,0.0127491289749742,"Ben Mee","h","SetPiece","Head","Burnley","Tottenham",1,0,"2022-02-23 19:30:00","Dwight McNeil","Aerial","NoGoal","zone2"
61,"BlockedShot",98.2799983978272,48.4840020751953,0.0288080293685198,"Dwight McNeil","h","OpenPlay","LeftFoot","Burnley","Tottenham",1,0,"2022-02-23 19:30:00","Josh Brownhill","TakeOn","NoGoal","zone2"
68,"SavedShot",94.9200016021728,31.5520010375977,0.365912675857544,"Jay Rodriguez","h","OpenPlay","Head","Burnley","Tottenham",1,0,"2022-02-23 19:30:00","Dwight McNeil","Aerial","NoGoal","zone2"
70,"Goal",100.170001602173,36.5839994812011,0.0854106470942497,"Ben Mee","h","SetPiece","Head","Burnley","Tottenham",1,0,"2022-02-23 19:30:00","Josh Brownhill","Aerial","Goal","zone1"
